French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
bureau,office
